Positions,Player Name,Country,Ratings
1,Babar Azam,PAKISTAN,890
2,Imam-ul-Haq,PAKISTAN,779
3,Rassie van der Dussen,SOUTH AFRICA,766
4,Quinton de Kock,SOUTH AFRICA,759
5,Jonny Bairstow,ENGLAND,732
6,David Warner,AUSTRALIA,725
7,Virat Kohli,INDIA,722
8,Rohit Sharma,INDIA,718
9,Ross Taylor,NEW ZEALAND,701
10,Steven Smith,AUSTRALIA,697
