Positions,Player Name,Country,Ratings
1,Babar Azam,PAKISTAN,890
2,Rassie van der Dussen,SOUTH AFRICA,789
3,Quinton de Kock,SOUTH AFRICA,784
4,Imam-ul-Haq,PAKISTAN,779
5,Virat Kohli,INDIA,744
6,David Warner,AUSTRALIA,743
7,Rohit Sharma,INDIA,740
8,Jonny Bairstow,ENGLAND,732
9,Ross Taylor,NEW ZEALAND,715
10,Kane Williamson,NEW ZEALAND,698
