Positions,Player Name,Country,Ratings
1,Suryakumar Yadav,INDIA,869
2,Mohammad Rizwan,PAKISTAN,830
3,Devon Conway,NEW ZEALAND,779
4,Babar Azam,PAKISTAN,762
5,Aiden Markram,SOUTH AFRICA,748
6,Dawid Malan,ENGLAND,734
7,Glenn Phillips,NEW ZEALAND,697
8,Rilee Rossouw,SOUTH AFRICA,693
9,Aaron Finch,AUSTRALIA,680
10,Pathum Nissanka,SRI LANKA,673
